t1_T	pitch_wave_T
0	11.3598108325138
0.0500834724540902	11.3572718713054
0.10016694490818	11.3496561226152
0.15025041736227	11.3369669907412
0.200333889816361	11.3192101478224
0.250417362270451	11.2963935313037
0.300500834724541	11.2685273403874
0.350584307178631	11.235624031474
0.400667779632721	11.1976983125946
0.450751252086811	11.1547671368359
0.500834724540901	11.1068496947623
0.550918196994992	11.053967405837
0.601001669449082	10.9961439088483
0.651085141903172	10.9334050513419
0.701168614357262	10.8657788780676
0.751252086811352	10.7932956184425
0.801335559265442	10.7159876730387
0.851419031719533	10.6338895990996
0.901502504173623	10.5470380950928
0.951585976627713	10.4554719843057
1.0016694490818	10.3592321974908
1.05175292153589	10.2583617545697
1.10183639398998	10.1529057454026
1.15191986644407	10.0429113096331
1.20200333889816	9.92842761561606
1.25208681135225	9.80950583843929
1.30217028380634	9.68619913704768
1.35225375626043	9.55856263048083
1.40233722871452	9.4266533732344
1.45242070116861	9.29053032975634
1.5025041736227	9.15025434808928
1.55258764607679	9.00588813267102
1.60267111853088	8.85749621630519
1.65275459098498	8.70514493131453
1.70283806343907	8.5489023798899
1.75292153589316	8.38883840364802
1.80300500834725	8.22502455241179
1.85308848080134	8.05753405222693
1.90317195325543	7.88644177262938
1.95325542570952	7.71182419317806
2.00333889816361	7.53375936926793
2.0534223706177	7.35232689723861
2.10350584307179	7.16760787879419
2.15358931552588	6.97968488475021
2.20367278797997	6.78864191812379
2.25375626043406	6.59456437658372
2.30383973288815	6.39753901427699
2.35392320534224	6.19765390304906
2.40400667779633	5.99499839307502
2.45409015025042	5.78966307291944
2.50417362270451	5.58173972904255
2.5542570951586	5.371321304771
2.60434056761269	5.15850185875147
2.65442404006678	4.94337652290576
2.70450751252087	4.72604145990607
2.75459098497496	4.50659382018954
2.80467445742905	4.28513169853132
2.85475792988314	4.06175409019535
2.90484140233723	3.83656084668284
2.95492487479132	3.60965263109779
3.00500834724541	3.38113087314986
3.0550918196995	3.15109772381449
3.10517529215359	2.91965600967066
3.15525876460768	2.68690918693658
3.20534223706177	2.45296129522401
3.25542570951586	2.21791691103173
3.30550918196995	1.98188110099906
3.35559265442404	1.74495937494026
3.40567612687813	1.50725763868083
3.45575959933222	1.26888214671681
3.50584307178631	1.0299394547182
3.5559265442404	0.790536371897747
3.60601001669449	0.55077991326643
3.65609348914858	0.310777251796913
3.70617696160267	0.0706356705164249
3.75626043405676	-0.169537485449598
3.80634390651085	-0.409634856861584
3.85642737896494	-0.649549118356246
3.90651085141903	-0.889173026421821
3.95659432387312	-1.12839946733676
4.00667779632721	-1.36712150505037
4.0567612687813	-1.60523242898406
4.10684474123539	-1.84262580173177
4.15692821368948	-2.0791955066383
4.20701168614357	-2.31483579523431
4.25709515859766	-2.54944133450664
4.30717863105175	-2.78290725398302
4.35726210350584	-3.01512919260995
4.40734557595993	-3.24600334540288
4.45742904841402	-3.47542650984786
4.50751252086811	-3.70329613203383
4.5575959933222	-3.92951035249505
4.60767946577629	-4.15396805174297
4.65776293823038	-4.3765688954675
4.70784641068447	-4.5972133793872
4.75792988313856	-4.81580287372841
4.80801335559265	-5.03223966731358
4.85809682804674	-5.24642701123883
4.90818030050083	-5.45826916212156
4.95826377295492	-5.66767142489837
5.00834724540902	-5.87454019515456
5.05843071786311	-6.07878300096594
5.1085141903172	-6.28030854423457
5.15859766277129	-6.47902674149965
5.20868113522538	-6.67484876420556
5.25876460767947	-6.86768707840886
5.30884808013356	-7.05745548390666
5.35893155258765	-7.24406915276876
5.40901502504174	-7.42744466725641
5.45909849749583	-7.60750005711065
5.50918196994992	-7.78415483619364
5.55926544240401	-7.9573300384666
5.6093489148581	-8.12694825328822
5.65943238731219	-8.29293366001782
5.70951585976628	-8.45521206190775
5.75959933222037	-8.6137109192699
5.80968280467446	-8.76835938190151
5.85976627712855	-8.91908832075574
5.90984974958264	-9.06583035884289
5.95993322203673	-9.20851990134842
6.01001669449082	-9.34709316495434
6.06010016694491	-9.48148820635087
6.110183639399	-9.61164494992552
6.16026711185309	-9.7375052146174
6.21035058430718	-9.85901273992454
6.26043405676127	-9.97611321105283
6.31051752921536	-10.0887542831951
6.36060100166945	-10.1968856049297
6.41068447412354	-10.300458840728
6.46076794657763	-10.3994276925604
6.51085141903172	-10.4937479205926
6.56093489148581	-10.5833773629604
6.6110183639399	-10.6682759546169
6.66110183639399	-10.7484057452416
6.71118530884808	-10.8237309162045
6.76126878130217	-10.8942177965776
6.81135225375626	-10.9598348781856
6.86143572621035	-11.0205528296906
6.91151919866444	-11.0763445097035
6.96160267111853	-11.1271849789162
7.01168614357262	-11.1730515112496
7.06176961602671	-11.2139236040126
7.1118530884808	-11.2497829870669
7.16193656093489	-11.2806136309936
7.21202003338898	-11.3064017542588
7.26210350584307	-11.3271358293741
7.31218697829716	-11.3428065880491
7.36227045075125	-11.3534070253347
7.41235392320534	-11.3589324027542
7.46243739565943	-11.3593802504217
7.51252086811352	-11.3547503681458
7.56260434056761	-11.3450448255194
7.6126878130217	-11.3302679609942
7.66277128547579	-11.310426379942
7.71285475792988	-11.2855289517012
7.76293823038397	-11.255586805613
7.81302170283806	-11.220613326046
7.86310517529215	-11.1806241464132
7.91318864774624	-11.1356371421841
7.96327212020033	-11.0856724228941
8.01335559265442	-11.0307523231553
8.06343906510851	-10.9709013926726
8.1135225375626	-10.9061463852702
8.16360601001669	-10.8365162469324
8.21368948247078	-10.7620421028639
8.26377295492487	-10.6827572435774
8.31385642737897	-10.5986971100121
8.36393989983305	-10.5098992776912
8.41402337228715	-10.4164034399257
