t1_T	pitch_wave_rad_T
0	0.198266101431085
0.0500834724540902	0.198221788198417
0.10016694490818	0.198088868308768
0.15025041736227	0.197867401178347
0.200333889816361	0.197557485804655
0.250417362270451	0.197159260722239
0.300500834724541	0.196672903940759
0.350584307178631	0.19609863286542
0.400667779632721	0.195436704199789
0.450751252086811	0.194687413831048
0.500834724540901	0.193851096697729
0.550918196994992	0.192928126639993
0.601001669449082	0.191918916232522
0.651085141903172	0.190823916600097
0.701168614357262	0.189643617215935
0.751252086811352	0.188378545682899
0.801335559265442	0.18702926749765
0.851419031719533	0.185596385797867
0.901502504173623	0.18408054109264
0.951585976627713	0.18248241097616
1.0016694490818	0.180802709824822
1.05175292153589	0.179042188477904
1.10183639398998	0.177201633901925
1.15191986644407	0.175281868838873
1.20200333889816	0.17328375143843
1.25208681135225	0.171208174874373
1.30217028380634	0.169056066945315
1.35225375626043	0.166828389659981
1.40233722871452	0.16452613880717
1.45242070116861	0.162150343510643
1.5025041736227	0.159702065769085
1.55258764607679	0.157182399981393
1.60267111853088	0.154592472457465
1.65275459098498	0.151933440914734
1.70283806343907	0.149206493960658
1.75292153589316	0.146412850561403
1.80300500834725	0.143553759496959
1.85308848080134	0.140630498802921
1.90317195325543	0.137644375199201
1.95325542570952	0.134596723505912
2.00333889816361	0.131488906046697
2.0534223706177	0.128322312039753
2.10350584307179	0.125098356976845
2.15358931552588	0.121818481990572
2.20367278797997	0.118484153210163
2.25375626043406	0.115096861106113
2.30383973288815	0.111658119823926
2.35392320534224	0.108169466507283
2.40400667779633	0.104632460610928
2.45409015025042	0.101048683203577
2.50417362270451	0.0974197362611686
2.5542570951586	0.0937472419507717
2.60434056761269	0.0900328419054606
2.65442404006678	0.0862781964904944
2.70450751252087	0.0824849840611204
2.75459098497496	0.0786549002123368
2.80467445742905	0.0747896570209485
2.85475792988314	0.0708909822802556
2.90484140233723	0.066960618727717
2.95492487479132	0.0630003232659327
3.00500834724541	0.0590118661772958
3.0550918196995	0.0549970303326619
3.10517529215359	0.0509576103943924
3.15525876460768	0.0468954120141271
3.20534223706177	0.0428122510256436
3.25542570951586	0.0387099526331658
3.30550918196995	0.0345903505954838
3.35559265442404	0.0304552864062497
3.40567612687813	0.0263066084708155
3.45575959933222	0.0221461712799821
3.50584307178631	0.0179758345810276
3.5559265442404	0.0137974625463861
3.60601001669449	0.009612922940348
3.65609348914858	0.0054240862841556
3.70617696160267	0.0012328250198655
3.75626043405676	-0.00295898732664747
3.80634390651085	-0.00714947698317033
3.85642737896494	-0.0113367707687428
3.90651085141903	-0.0155189969309833
3.95659432387312	-0.0196942859827767
4.00667779632721	-0.0238607715379493
4.0567612687813	-0.028016591145558
4.10684474123539	-0.0321598871224196
4.15692821368948	-0.03628880738351
4.20701168614357	-0.04040150626986
4.25709515859766	-0.044496145373579
4.30717863105175	-0.0485708943596378
4.35726210350584	-0.0526239317840419
4.40734557595993	-0.0566534459080309
4.45742904841402	-0.0606576355079402
4.50751252086811	-0.0646347106803611
4.5575959933222	-0.0685828936422416
4.60767946577629	-0.072500419525569
4.65776293823038	-0.0763855371662795
4.70784641068447	-0.0802365098870419
4.75792988313856	-0.0840516162735655
4.80801335559265	-0.087829150944086
4.85809682804674	-0.0915674253116832
4.90818030050083	-0.0952647683390934
4.95826377295492	-0.0989195272856752
5.00834724540902	-0.102530068446197
5.05843071786311	-0.106094777881117
5.1085141903172	-0.109612062138025
5.15859766277129	-0.113080348963928
5.20868113522538	-0.116498088008062
5.25876460767947	-0.119863751514905
5.30884808013356	-0.123175835007101
5.35893155258765	-0.126432857957971
5.40901502504174	-0.129633364453319
5.45909849749583	-0.132775923842238
5.50918196994992	-0.135859131376619
5.55926544240401	-0.138881608839089
5.6093489148581	-0.141842005159082
5.65943238731219	-0.144738997016775
5.70951585976628	-0.147571289434629
5.75959933222037	-0.150337616356247
5.80968280467446	-0.153036741212316
5.85976627712855	-0.15566745747336
5.90984974958264	-0.158228589189067
5.95993322203673	-0.160718991513953
6.01001669449082	-0.163137551219111
6.06010016694491	-0.165483187189834
6.110183639399	-0.167754850908886
6.16026711185309	-0.169951526925191
6.21035058430718	-0.172072233307751
6.26043405676127	-0.174116022084576
6.31051752921536	-0.176081979666435
6.36060100166945	-0.177969227255238
6.41068447412354	-0.179776921236861
6.46076794657763	-0.181504253558256
6.51085141903172	-0.18315045208865
6.56093489148581	-0.184714780964695
6.6110183639399	-0.186196540919406
6.66110183639399	-0.18759506959474
6.71118530884808	-0.188909741837671
6.76126878130217	-0.19013996997964
6.81135225375626	-0.19128520409925
6.86143572621035	-0.192344932268079
6.91151919866444	-0.193318680779524
6.96160267111853	-0.194206014360543
7.01168614357262	-0.195006536366234
7.06176961602671	-0.195719888957129
7.1118530884808	-0.19634575325916
7.16193656093489	-0.196883849506191
7.21202003338898	-0.19733393716508
7.26210350584307	-0.197695815043197
7.31218697829716	-0.197969321378361
7.36227045075125	-0.198154333911146
7.41235392320534	-0.198250769939532
7.46243739565943	-0.198258586355877
7.51252086811352	-0.198177779666183
7.56260434056761	-0.198008385991659
7.6126878130217	-0.197750481052574
7.66277128547579	-0.19740418013441
7.71285475792988	-0.19696963803633
7.76293823038397	-0.196447049001979
7.81302170283806	-0.195836646632655
7.86310517529215	-0.195138703782891
7.91318864774624	-0.194353532438485
7.96327212020033	-0.19348148357704
8.01335559265442	-0.192522947011073
8.06343906510851	-0.191478351213768
8.1135225375626	-0.190348163127444
8.16360601001669	-0.189132887954829
8.21368948247078	-0.187833068933229
8.26377295492487	-0.1864492870917
