t1_T	wave_T
0	0
0.0500834724540902	0.126848245104825
0.10016694490818	0.253639788072894
0.15025041736227	0.380317952113737
0.200333889816361	0.506826111118136
0.250417362270451	0.633107714970425
0.300500834724541	0.759106314826825
0.350584307178631	0.88476558834851
0.400667779632721	1.01002936487812
0.450751252086811	1.13484165054849
0.500834724540901	1.25914665331232
0.550918196994992	1.38288880788164
0.601001669449082	1.50601280056595
0.651085141903172	1.62846359399783
0.701168614357262	1.75018645173511
0.751252086811352	1.87112696272841
0.801335559265442	1.99123106564336
0.851419031719533	2.1104450730264
0.901502504173623	2.22871569530347
0.951585976627713	2.34599006460091
1.0016694490818	2.46221575837774
1.05175292153589	2.57734082285897
1.10183639398998	2.69131379625935
1.15191986644407	2.80408373178715
1.20200333889816	2.91560022041778
1.25208681135225	3.02581341342701
1.30217028380634	3.13467404467374
1.35225375626043	3.24213345262233
1.40233722871452	3.34814360209467
1.45242070116861	3.45265710574229
1.5025041736227	3.55562724522888
1.55258764607679	3.65700799211371
1.60267111853088	3.75675402842671
1.65275459098498	3.85482076692597
1.70283806343907	3.95116437102853
1.75292153589316	4.04574177440572
1.80300500834725	4.13851070023412
1.85308848080134	4.22942968009361
1.90317195325543	4.31845807250409
1.95325542570952	4.4055560810925
2.00333889816361	4.49068477238217
2.0534223706177	4.5738060931963
2.10350584307179	4.6548828876681
2.15358931552588	4.73387891384967
2.20367278797997	4.81075885991249
2.25375626043406	4.88548835993205
2.30383973288815	4.95803400924969
2.35392320534224	5.02836337940473
2.40400667779633	5.09644503263024
2.45409015025042	5.16224853590598
2.50417362270451	5.22574447456215
2.5542570951586	5.28690446542804
2.60434056761269	5.34570116951947
2.65442404006678	5.40210830425954
2.70450751252087	5.45610065522714
2.75459098497496	5.50765408742802
2.80467445742905	5.55674555608326
2.85475792988314	5.60335311693052
2.90484140233723	5.64745593603324
2.95492487479132	5.68903429909363
3.00500834724541	5.72806962026507
3.0550918196995	5.76454445046011
3.10517529215359	5.79844248515039
3.15525876460768	5.82974857165488
3.20534223706177	5.85844871591322
3.25542570951586	5.88453008874118
3.30550918196995	5.90798103156542
3.35559265442404	5.92879106163495
3.40567612687813	5.94695087670701
3.45575959933222	5.9624523592052
3.50584307178631	5.97528857984819
3.5559265442404	5.98545380074705
3.60601001669449	5.99294347797021
3.65609348914858	5.99775426357463
3.70617696160267	5.99988400710228
3.75626043405676	5.99933175654153
3.80634390651085	5.99609775875258
3.85642737896494	5.99018345935722
3.90651085141903	5.98159150209256
3.95659432387312	5.97032572762927
4.00667779632721	5.9563911718548
4.0567612687813	5.93979406362227
4.10684474123539	5.92054182196613
4.15692821368948	5.8986430527858
4.20701168614357	5.87410754499876
4.25709515859766	5.84694626616487
4.30717863105175	5.81717135758369
4.35726210350584	5.78479612886736
4.40734557595993	5.74983505199096
4.45742904841402	5.71230375482355
4.50751252086811	5.6722190141423
4.5575959933222	5.62959874813322
4.60767946577629	5.58446200838151
4.65776293823038	5.53682897135543
4.70784641068447	5.48672092938722
4.75792988313856	5.4341602811553
4.80801335559265	5.37917052167184
4.85809682804674	5.32177623178036
4.90818030050083	5.26200306716786
4.95826377295492	5.19987774689658
5.00834724540902	5.13542804146032
5.05843071786311	5.06868276037087
5.1085141903172	4.9996717392799
5.15859766277129	4.92842582664221
5.20868113522538	4.85497686992624
5.25876460767947	4.77935770137798
5.30884808013356	4.70160212334475
5.35893155258765	4.62174489316524
5.40901502504174	4.53982170763278
5.45909849749583	4.45586918703851
5.50918196994992	4.36992485880192
5.55926544240401	4.28202714069576
5.6093489148581	4.19221532367298
5.65943238731219	4.10052955430343
5.70951585976628	4.007010816828
5.75959933222037	3.91170091483835
5.80968280467446	3.81464245259039
5.85976627712855	3.71587881595987
5.90984974958264	3.61545415304853
5.95993322203673	3.51341335444958
6.01001669449082	3.40980203318125
6.06010016694491	3.30466650429743
6.110183639399	3.19805376418449
6.16026711185309	3.09001146955353
6.21035058430718	2.98058791613745
6.26043405676127	2.86983201710242
6.31051752921536	2.75779328118329
6.36060100166945	2.64452179055283
6.41068447412354	2.53006817843459
6.46076794657763	2.4144836064695
6.51085141903172	2.29781974184616
6.56093489148581	2.1801287342053
6.6110183639399	2.06146319232841
6.66110183639399	1.94187616062126
6.71118530884808	1.82142109540261
6.76126878130217	1.70015184100888
6.81135225375626	1.57812260572524
6.86143572621035	1.45538793755418
6.91151919866444	1.33200269983207
6.96160267111853	1.20802204670485
7.01168614357262	1.0835013984737
7.06176961602671	0.958496416821768
7.1118530884808	0.833062979932926
7.16193656093489	0.707257157513828
7.21202003338898	0.581135185730309
7.26210350584307	0.454753442069389
7.31218697829716	0.328168420138113
7.36227045075125	0.201436704410461
7.41235392320534	0.0746149449336666
7.46243739565943	-0.0522401679947941
7.51252086811352	-0.179071929168189
7.56260434056761	-0.305823643818208
7.6126878130217	-0.432438652957946
7.66277128547579	-0.558860358708907
7.71285475792988	-0.685032249600695
7.76293823038397	-0.810897925832059
7.81302170283806	-0.936401124482054
7.86310517529215	-1.06148574465999
7.91318864774624	-1.18609587258294
7.96327212020033	-1.31017580656968
8.01335559265442	-1.43367008193972
8.06343906510851	-1.55652349580644
8.1135225375626	-1.67868113175324
8.16360601001669	-1.80008838438156
8.21368948247078	-1.92069098371995
8.26377295492487	-2.04043501948313
8.31385642737897	-2.15926696517031
8.36393989983305	-2.27713370199193
8.41402337228715	-2.39398254261423
8.46410684474124	-2.5097612547108
8.51419031719533	-2.62441808431088
8.56427378964942	-2.73790177893381
8.61435726210351	-2.8501616104992
